destination_id,destination_name,country,continent,temperature_min(C),temperature_max(C),weather_type,humidity,cost,features
1,Aksum,Ethiopia ,Africa,14,23,Mild,60,1000,"Ancient Ruins, Historical Sites, Cathedral"
2,Bahir Dar,Ethiopia ,Africa,6,18,Mild,60,1000,"lakes, Churches"
3,Gondar,Ethiopia ,Africa,6,18,Mild,60,1000,"Castles, Culture, Museums, Coffee Culture"
4,Harar,Ethiopia ,Africa,13,26,Mild,60,1000,"Culture, Castles, Nightlife, Coffee Culture"
5,Jinka,Ethiopia ,Africa,18,28,Mild,60,1000,"Markets, Culture"
6,Lalibela,Ethiopia ,Africa,9,24,Mild,60,1000,"Churches, Culture, Castles"
7,Langano,Ethiopia ,Africa,15,23,Mild,52,1000,Beaches
8,Wonchi,Ethiopia ,Africa,13,26,Mild,60,1000,"lakes, Volcanic Landscape, Scenic views, Nature"
9,Buenos Aires,Argentina,South America,15,30,Mild,75,2000,"Tango, Culture"
10,Melbourne,Australia,Oceania,10,22,Mild,68,2000,"Arts Museums, Coffee Culture"
11,Sydney,Australia,Oceania,18,28,Sunny,75,1950,"Opera House, Beaches"
12,Vienna,Austria,Europe,-2,20,Mild,65,1800,"Palaces, Cafes, Classical Music"
13,Brussels,Belgium,Europe,2,18,Rainy,70,1650,"Museums, Architecture"
14,Rio de Janeiro,Brazil,South America,22,35,Humid,78,1850,"Christ the Redeemer, Nightlife, Architecture, Beaches"
15,Quebec City,Canada,North America,-8,10,Snowy,50,1900,"Old Town, Winter Carnival"
16,Toronto,Canada,North America,-5,15,Snowy,60,1700,"CN Tower, Sports"
17,Vancouver,Canada,North America,-2,15,Rainy,65,1750,"Nature, City Life"
18,Vancouver Island,Canada,North America,-2,12,Rainy,65,1600,"Wildlife, Scenic Drives, Outdoor Activities"
19,Cape Verde,Cape Verde Islands,Africa,20,30,Sunny,75,1600,"Beaches, Culture"
20,Beijing,China,Asia,-3,15,Snowy,60,2100,"Great Wall, Culture, Architecture"
21,Hong Kong,China,Asia,20,32,Humid,78,2400,"Skyline, Shopping"
22,Dubrovnik,Croatia,Europe,15,30,Sunny,75,1850,"Walled City, Adriatic Sea, Game of Thrones"
23,Prague,Czech Republic,Europe,-3,15,Snowy,58,1750,"Castles, Astronomical Clock"
24,Copenhagen,Denmark,Europe,0,15,Rainy,68,1800,"Tivoli Gardens, Castles"
25,Cairo,Egypt,Africa,18,35,Dry,65,1500,"Pyramids, Museums, Nile River, Historical Sites"
26,Asmera Cathedral ,Eritrea,Africa,14,26,Mild,65,800,Cathedral
27,Fiat Tagliero,Eritrea,Africa,14,26,Mild,65,800,Historical Sites
28,Massawa,Eritrea,Africa,14,26,Mild,65,800,Beaches
29,Helsinki,Finland,Europe,10,18,Mild,50,1850,"Architecture, Saunas"
30,Paris,France,Europe,5,25,Mild,70,1500,City Life
31,Berlin,Germany,Europe,2,15,Snowy,62,2000,"Wall Remnants, Nightlife"
32,Munich,Germany,Europe,-5,18,Snowy,60,1800,"Gardens, Museums"
33,Athens,Greece,Europe,15,32,Sunny,70,1600,"Historical Sites, Culture"
34,Santorini,Greece,Europe,12,28,Sunny,70,2000,"Volcanic Landscapes, Sunsets"
35,Budapest,Hungary,Europe, 5,20,Mild,62,1850,"waterfront, Temples, Architecture, Museums"
36,Reykjavik,Iceland,Europe, 5,10,Mild,55,2200,City Life
37,Reykjavik,Iceland,Europe, 5,5,Mild,40,2300,"Geothermal Pools, Northern Lights"
38,Mumbai,India,Asia,25,35,Humid,80,1350,"Historical Sites, Markets"
39,Mumbai,India,Asia,22,35,Humid,75,1400,"Museums, Markets, Temples"
40,Bali,Indonesia,Asia,25,32,Humid,80,1700,"Temples, Beaches, Rice Terraces"
41,Dublin,Ireland,Europe,5,18,Rainy,75,1650,"Castles, Pub Culture"
42,Florence,Italy,Europe,12,28,Mild,70,1950,"Art Museums, Duomo"
43,Milan,Italy,Europe,5,18,Rainy,68,1750,"Fashion, Cathedral, Opera House"
44,Rome,Italy,Europe,15,32,Mild,70,1750,"Archaeological sites, Architecture, Museums"
45,Venice,Italy,Europe,5,25,Mild,70,1550,Historical Sites
46,Kyoto,Japan,Asia,8,20,Mild,70,1750,"Temples, Gardens"
47,Tokyo,Japan,Asia,10,28,Mild,75,1800,City Life
48,Amboseli National Park,Kenya,Africa,15,30,Varied,55,1400,"Mt. Kilimanjaro views, Elephant herds"
49,Diani Beach,Kenya,Africa,24,32,Warm,78,1100,"Sandy beaches, Watersports"
50,Lake Nakuru National Park,Kenya,Africa,10,28,Varied,58,1450,"Flamingos, Rhinos, wildlife"
51,Lamu Island,Kenya,Africa,23,33,Warm,75,1200,"Architecture, Beaches"
52,Maasai Mara National Reserve,Kenya,Africa,10,28,Varied,60,1500,"Wildlife safari, Maasai culture"
53,Mount Kenya,Kenya,Africa,-5,15,Cold,50,2000,"Mountain climbing, Alpine vegetation"
54,Nairobi,Kenya,Africa,12,26,Mild,65,800,"National museums, City parks"
55,Samburu National Reserve,Kenya,Africa,20,35,Hot,70,1600,"Unique wildlife, Indigenous tribes"
56,Tsavo National Park,Kenya,Africa,18,33,Warm,72,1300,"Red elephants, Scenic landscapes"
57,Watamu Beach,Kenya,Africa,25,35,Hot,80,1000,Beaches
58,Kuala Lumpur,Malaysia,Asia,25,32,Humid,80,1750,"Petronas Towers, Street Markets"
59,Cancun,Mexico,North America,20,32,Sunny,80,1800,"Beaches, Nightlife"
60,Marrakech,Morocco,Africa,22,35,Dry,70,2100,"Markets, Historical Sites"
61,Amsterdam,Netherlands,Europe,3,18,Rainy,70,1950,"Canals, Art Museums"
62,Auckland,New Zealand,Oceania,10,25,Mild,65,2100,"Scenic views, waterfront, Harbors, Volcanic Landscapes"
63,Wellington,New Zealand,Oceania,8,18,Rainy,65,1800,"waterfront, Cafe Culture"
64,Oslo,Norway,Europe,-5,10,Snowy,55,1900,"Museums, Outdoor Activities"
65,Krakow,Poland,Europe,-3,12,Snowy,55,2100,"Historic Center, Castles, Jewish Quarter"
66,Lisbon,Portugal,Europe,10,25,Mild,68,1700,"Architecture, Fado Music, waterfront"
67,Museo de Fado,Portugal,Europe,12,28,Mild,65,1600,"Architecture, Fado Music"
68,Moscow,Russia,Europe,-15,5,Snowy,45,2100,"Red Square, Museums"
69,Singapore,Singapore,Asia,25,33,Humid,85,2150,"City Life, Scenic views"
70,Cape Town,South Africa,Africa,10,25,Mild,75,2100,"Table Mountain, Wineries, Museums, Beaches"
71,Seoul,South Korea,Asia,-5,15,Snowy,60,1750,"Culture, Palaces"
72,Barcelona,Spain,Europe,15,30,Sunny,70,1950,"Architectural Marvels, Beaches"
73,Madrid,Spain,Europe,8,28,Sunny,72,1600,"Art Museums, Plaza Mayor, Tapas"
74,Stockholm,Sweden,Europe,-2,15,Snowy,55,1750,"Archipelago, Museums"
75,Zurich,Switzerland,Europe,-5,15,Snowy,60,1900,"Banking, lakes"
76,Bangkok,Thailand,Asia,28,35,Humid,85,1500,"Temples, Street Markets, City Life"
77,Chiang Mai,Thailand,Asia,25,35,Humid,80,1800,"Temples, Night Markets, Thai Culture"
78,Istanbul,Turkey,Europe,10,28,Mild,68,1550,"Mosques, Bazaars"
79,Dubai,UAE,Asia,20,45,Hot,85,2300,"Modern Architecture, Desert Safari, City Life"
80,Edinburgh,UK,Europe,0,15,Rainy,70,1850,"Castles, Festivals, Historic Sites"
81,London,UK,Europe,5,20,Rainy,75,1650,"Historical Sites, Culture"
82,Las Vegas,USA,North America,15,35,Sunny,75,2100,"Casinos, Entertainment"
83,Los Angeles,USA,North America,10,28,Sunny,75,1900,"Entertainment, Beaches, waterfront"
84,New York City,USA,North America,5,20,Rainy,68,1800,City Life
85,San Francisco,USA,North America,10,25,Mild,65,1750,"Culture, Scenic Beauty"
86,Ho Chi Minh City,Vietnam,Asia,28,35,Humid,85,2000,"Museum, Street Food"
